Start Training ...................................

          Initializing TSN with base model: resnet18.
          TSN Configurations:
              input_modality:     RGB
              num_segments:       3
              new_length:         1
              consensus_module:   avg
              dropout_ratio:      0.8
               
Load and modify the standard model FC output layer
Dropout Layer added and The modified linear layer is : Linear(in_features=512, out_features=101, bias=True)
Done. Loading and Modifying 
 ---------------------------------------------------
---------------------------------------------------
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 0 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 20 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 1 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 2 params, lr_mult: 1, decay_mult: 0
---------------------------------------------------
Epoch: [6][100/299], lr: 0.00100	Time 0.309 (0.375)	Data 0.000 (0.044)	Loss 0.7985 (0.7600)	Acc@1 71.875 (77.042)	Acc@5 96.875 (95.606)
Epoch: [6][120/299], lr: 0.00100	Time 0.304 (0.363)	Data 0.000 (0.037)	Loss 0.6951 (0.7566)	Acc@1 78.125 (77.634)	Acc@5 96.875 (95.894)
Epoch: [6][140/299], lr: 0.00100	Time 0.304 (0.364)	Data 0.000 (0.032)	Loss 1.0313 (0.7599)	Acc@1 65.625 (77.527)	Acc@5 87.500 (95.656)
Epoch: [6][160/299], lr: 0.00100	Time 0.305 (0.357)	Data 0.000 (0.028)	Loss 0.5910 (0.7511)	Acc@1 75.000 (77.659)	Acc@5 100.000 (95.672)
Epoch: [6][180/299], lr: 0.00100	Time 0.313 (0.352)	Data 0.000 (0.025)	Loss 1.4302 (0.7566)	Acc@1 56.250 (77.607)	Acc@5 96.875 (95.718)
Epoch: [6][200/299], lr: 0.00100	Time 0.303 (0.348)	Data 0.000 (0.022)	Loss 0.6280 (0.7537)	Acc@1 87.500 (77.799)	Acc@5 100.000 (95.756)
Epoch: [6][220/299], lr: 0.00100	Time 0.305 (0.344)	Data 0.000 (0.020)	Loss 0.7682 (0.7516)	Acc@1 84.375 (77.814)	Acc@5 90.625 (95.701)
Epoch: [6][240/299], lr: 0.00100	Time 0.305 (0.342)	Data 0.000 (0.019)	Loss 0.5869 (0.7411)	Acc@1 81.250 (78.034)	Acc@5 93.750 (95.799)
Epoch: [6][260/299], lr: 0.00100	Time 0.308 (0.339)	Data 0.000 (0.017)	Loss 0.7117 (0.7389)	Acc@1 78.125 (78.161)	Acc@5 90.625 (95.666)
Epoch: [6][280/299], lr: 0.00100	Time 0.354 (0.341)	Data 0.000 (0.016)	Loss 0.3906 (0.7394)	Acc@1 90.625 (78.192)	Acc@5 100.000 (95.685)
Epoch: [7][0/299], lr: 0.00100	Time 4.124 (4.124)	Data 3.729 (3.729)	Loss 0.6693 (0.6693)	Acc@1 75.000 (75.000)	Acc@5 100.000 (100.000)
Epoch: [7][20/299], lr: 0.00100	Time 0.304 (0.496)	Data 0.000 (0.183)	Loss 0.2929 (0.7544)	Acc@1 93.750 (77.381)	Acc@5 96.875 (96.131)
Epoch: [7][40/299], lr: 0.00100	Time 0.305 (0.410)	Data 0.000 (0.094)	Loss 0.6520 (0.7296)	Acc@1 81.250 (77.820)	Acc@5 93.750 (96.418)
Epoch: [7][60/299], lr: 0.00100	Time 0.305 (0.376)	Data 0.000 (0.063)	Loss 0.6383 (0.7106)	Acc@1 78.125 (78.227)	Acc@5 96.875 (96.465)
Epoch: [7][80/299], lr: 0.00100	Time 0.306 (0.359)	Data 0.000 (0.048)	Loss 0.6801 (0.7044)	Acc@1 84.375 (78.781)	Acc@5 96.875 (96.296)
Epoch: [7][100/299], lr: 0.00100	Time 0.309 (0.351)	Data 0.000 (0.038)	Loss 0.9130 (0.7126)	Acc@1 68.750 (78.403)	Acc@5 93.750 (96.194)
Epoch: [7][120/299], lr: 0.00100	Time 0.308 (0.344)	Data 0.000 (0.032)	Loss 0.5006 (0.6865)	Acc@1 81.250 (79.313)	Acc@5 100.000 (96.384)
Epoch: [7][140/299], lr: 0.00100	Time 0.306 (0.338)	Data 0.000 (0.028)	Loss 0.7577 (0.6783)	Acc@1 78.125 (79.787)	Acc@5 96.875 (96.232)
Epoch: [7][160/299], lr: 0.00100	Time 0.307 (0.334)	Data 0.000 (0.024)	Loss 0.5193 (0.6827)	Acc@1 87.500 (79.658)	Acc@5 100.000 (96.351)
Epoch: [7][180/299], lr: 0.00100	Time 0.303 (0.338)	Data 0.000 (0.022)	Loss 0.5172 (0.6786)	Acc@1 84.375 (79.644)	Acc@5 96.875 (96.288)
Epoch: [7][200/299], lr: 0.00100	Time 0.306 (0.335)	Data 0.000 (0.020)	Loss 1.1374 (0.6824)	Acc@1 68.750 (79.695)	Acc@5 90.625 (96.238)
Epoch: [7][220/299], lr: 0.00100	Time 0.351 (0.336)	Data 0.000 (0.018)	Loss 0.6262 (0.6739)	Acc@1 81.250 (79.850)	Acc@5 100.000 (96.281)
Epoch: [7][240/299], lr: 0.00100	Time 0.311 (0.333)	Data 0.000 (0.016)	Loss 0.6425 (0.6701)	Acc@1 84.375 (80.109)	Acc@5 100.000 (96.279)
Epoch: [7][260/299], lr: 0.00100	Time 0.391 (0.332)	Data 0.000 (0.015)	Loss 0.5810 (0.6634)	Acc@1 87.500 (80.316)	Acc@5 96.875 (96.384)
Epoch: [7][280/299], lr: 0.00100	Time 0.307 (0.330)	Data 0.000 (0.014)	Loss 0.5035 (0.6623)	Acc@1 84.375 (80.282)	Acc@5 96.875 (96.363)
Epoch: [8][0/299], lr: 0.00100	Time 4.243 (4.243)	Data 3.841 (3.841)	Loss 0.3090 (0.3090)	Acc@1 90.625 (90.625)	Acc@5 100.000 (100.000)
Epoch: [8][20/299], lr: 0.00100	Time 0.311 (0.498)	Data 0.000 (0.183)	Loss 0.6183 (0.5970)	Acc@1 81.250 (82.738)	Acc@5 96.875 (96.429)
Epoch: [8][40/299], lr: 0.00100	Time 0.304 (0.409)	Data 0.000 (0.094)	Loss 0.4974 (0.6132)	Acc@1 87.500 (83.460)	Acc@5 96.875 (96.341)
Epoch: [8][60/299], lr: 0.00100	Time 0.344 (0.376)	Data 0.000 (0.063)	Loss 0.9043 (0.6101)	Acc@1 68.750 (82.736)	Acc@5 96.875 (96.465)
