Start Training ...................................

          Initializing TSN with base model: resnet18.
          TSN Configurations:
              input_modality:     RGB
              num_segments:       3
              new_length:         1
              consensus_module:   avg
              dropout_ratio:      0.0
               
Load and modify the standard model FC output layer
The modified linear layer is : Linear(in_features=512, out_features=101, bias=True)
Done. Loading and Modifying 
 ---------------------------------------------------
---------------------------------------------------
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 0 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 20 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 1 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 2 params, lr_mult: 1, decay_mult: 0
---------------------------------------------------
Epoch: [7][80/299], lr: 0.00100	Time 0.302 (0.367)	Data 0.000 (0.059)	Loss 0.4147 (0.2612)	Acc@1 87.500 (92.130)	Acc@5 96.875 (98.958)
Epoch: [7][100/299], lr: 0.00100	Time 0.300 (0.355)	Data 0.000 (0.048)	Loss 0.2482 (0.2536)	Acc@1 96.875 (92.543)	Acc@5 96.875 (98.855)
Epoch: [7][120/299], lr: 0.00100	Time 0.300 (0.347)	Data 0.000 (0.040)	Loss 0.0764 (0.2433)	Acc@1 100.000 (92.639)	Acc@5 100.000 (98.993)
Epoch: [7][140/299], lr: 0.00100	Time 0.306 (0.347)	Data 0.000 (0.034)	Loss 0.3437 (0.2410)	Acc@1 90.625 (92.708)	Acc@5 96.875 (99.025)
Epoch: [7][160/299], lr: 0.00100	Time 0.316 (0.341)	Data 0.000 (0.030)	Loss 0.1538 (0.2390)	Acc@1 93.750 (92.780)	Acc@5 100.000 (99.030)
Epoch: [7][180/299], lr: 0.00100	Time 0.304 (0.339)	Data 0.000 (0.027)	Loss 0.1786 (0.2353)	Acc@1 93.750 (92.887)	Acc@5 100.000 (99.085)
Epoch: [7][200/299], lr: 0.00100	Time 0.301 (0.336)	Data 0.000 (0.024)	Loss 0.1474 (0.2340)	Acc@1 93.750 (92.848)	Acc@5 100.000 (99.083)
Epoch: [7][220/299], lr: 0.00100	Time 0.303 (0.348)	Data 0.000 (0.022)	Loss 0.2449 (0.2341)	Acc@1 90.625 (92.788)	Acc@5 100.000 (99.137)
Epoch: [7][240/299], lr: 0.00100	Time 0.300 (0.347)	Data 0.000 (0.022)	Loss 0.5984 (0.2363)	Acc@1 84.375 (92.777)	Acc@5 93.750 (99.105)
Epoch: [7][260/299], lr: 0.00100	Time 0.321 (0.343)	Data 0.000 (0.021)	Loss 0.3454 (0.2356)	Acc@1 84.375 (92.840)	Acc@5 100.000 (99.114)
